,Unnamed: 0,country,status,gdp,plastic_usage_per_cative,mean of income,tax,population,coeff_prod_before,coeff_prod_after,prod_state,coeff_cons_before,coeff_cons_after,cons_state,full_coeff_prod,full_coeff_cons,full_coeff_prod_num,full_coeff_cons_num,coeff_prod_before_num,coeff_prod_after_num,coeff_cons_before_num,coeff_cons_after_num
4,4,Mexico,B,9271,17.399999999999995,2.2036614166666664,-1.0,126068.33333333331,[5.55111512e-17],[0.64027981],Ban/Tax,[7.77156117e-16],[0.64931906],Ban/Tax,[0.7330895452640854],[0.7584992425199677],0.7330895452640854,0.7584992425199677,5.55111512e-17,0.64027981,7.77156117e-16,0.64931906
5,5,Morocco,B,2896,8.07125,270376.75,-1.0,33330.333333333336,[0.42502485],[0.12591077],Ban/Tax,[0.72822914],[0.40668493],Ban/Tax,[0.3800036933285752],[0.5815227350711305],0.3800036933285752,0.5815227350711305,0.42502485,0.12591077,0.72822914,0.40668493
7,7,Nigeria,B,2229,5.922416666666667,354987.03714850004,-1.0,177087.25,[0.58068914],[0.20923478],Ban/Tax,[0.67030938],[0.36152296],Ban/Tax,[0.5476494724651386],[0.636005998924989],0.5476494724651386,0.636005998924989,0.58068914,0.20923478,0.67030938,0.36152296
9,9,Pakistan,B,1208,5.008916666666666,547646.0544388333,-1.0,185108.91666666663,[1.06845358],[0.38217641],Ban/Tax,[1.27921555],[0.57346098],Ban/Tax,[0.5473828482251415],[0.6470207126589956],0.5473828482251415,0.6470207126589956,1.06845358,0.38217641,1.27921555,0.57346098
13,13,Romania,B,12899,20.84941666666667,415908.5,-1.0,19982.916666666668,[-5.00444139],[0.08362368],Ban/Tax,[0.54780941],[0.23612001],Ban/Tax,[0.4563913344315677],[0.5794756194526514],0.4563913344315677,0.5794756194526514,-5.00444139,0.08362368,0.54780941,0.23612001
16,16,Serbia,B,7252,13.948833333333337,100052.58333333331,-1.0,7178.416666666667,[0.44537388],[0.09598101],Ban/Tax,[0.53868073],[0.24952402],Ban/Tax,[0.4581644353760722],[0.524501435270133],0.4581644353760722,0.524501435270133,0.44537388,0.09598101,0.53868073,0.24952402
17,17,Spain,B,28170,35.434,1.64341325,-1.0,46399.25,[0.69552201],[0.40827745],Ban/Tax,[-5.39132988],[0.41650132],Ban/Tax,[0.7053243349239204],[0.6986530686791212],0.7053243349239204,0.6986530686791212,0.69552201,0.40827745,-5.39132988,0.41650132
18,18,Switzerland,B,83073,58.45875000000001,478180.0833333333,-1.0,8159.833333333333,[0.28603971],[0.16930647],Ban/Tax,[0.41715892],[0.3062011],Ban/Tax,[0.39629996607056484],[0.5659230675853686],0.39629996607056484,0.5659230675853686,0.28603971,0.16930647,0.41715892,0.3062011
19,19,Taiwan,B,26421,45.98558333333333,301966.36125441664,-1.0,23455.33333333333,[0.75710006],[0.42989866],Ban/Tax,[0.73270864],[0.39526283],Ban/Tax,[0.7782810330514518],[0.7115182009022263],0.7782810330514518,0.7115182009022263,0.75710006,0.42989866,0.73270864,0.39526283
20,20,Tanzania,B,1085,2.88375,138211.25,-1.0,47230.0,[0.12750805],[0.03691923],Ban/Tax,[0.53706677],[0.22558065],Ban/Tax,[0.1101817519357545],[0.5089182535221],0.1101817519357545,0.5089182535221,0.12750805,0.03691923,0.53706677,0.22558065
22,22,Tunisia,B,3687,11.56075,128308.16666666669,-1.0,11059.0,[0.22088637],[0.07005038],Ban/Tax,[0.57545846],[0.31187949],Ban/Tax,[0.16871560271286812],[0.518709851538614],0.16871560271286812,0.518709851538614,0.22088637,0.07005038,0.57545846,0.31187949
25,25,United Arab Emirates,B,42412,65.41216666666666,626108.3333333334,-1.0,9492.416666666666,[1.78175661],[0.67850179],Ban/Tax,[0.81000247],[0.46152817],Ban/Tax,[0.7256183507424887],[0.5778604470809074],0.7256183507424887,0.5778604470809074,1.78175661,0.67850179,0.81000247,0.46152817
32,32,Austrailia,B,62574,47.07533333333333,231028.73282691665,-1.0,23894.5,[1.30633491],[-2.49926902],Ban/Tax,[1.67658978],[0.35210479],Ban/Tax,[0.5651474967585772],[0.6291022293035861],0.5651474967585772,0.6291022293035861,1.30633491,-2.49926902,1.67658978,0.35210479
36,36,Brazil,B,8813,15.365083333333333,3.127165916666667,-1.0,203300.0833333333,[1.08883103],[0.55256186],Ban/Tax,[1.23595726],[0.55121073],Ban/Tax,[0.7620481546114588],[0.7640943030106462],0.7620481546114588,0.7640943030106462,1.08883103,0.55256186,1.23595726,0.55121073
43,43,France,B,37062,41.79574999999999,17.383478083333333,-1.0,415412.0,[0.93050238],[0.61437295],Ban/Tax,[0.90575333],[0.65907652],Ban/Tax,[0.9140531742309734],[0.9033387649445737],0.9140531742309734,0.9033387649445737,0.93050238,0.61437295,0.90575333,0.65907652
48,48,India,B,2072,6.1925,7.627502636363636,-1.0,1.273147909090909,[0.91306236],[0.50379813],Ban/Tax,[0.93365929],[0.23414605],Ban/Tax,[0.8253693447480932],[0.8608910387640839],0.8253693447480932,0.8608910387640839,0.91306236,0.50379813,0.93365929,0.23414605
50,50,Kenya,B,1633,3.205083333333333,142546.33333333334,-1.0,43822.083333333336,[0.16914658],[0.09319223],Ban/Tax,[0.68685202],[0.34501784],Ban/Tax,[0.1563863678331645],[0.5414095770654633],0.1563863678331645,0.5414095770654633,0.16914658,0.09319223,0.68685202,0.34501784
